time_s,Tj_K,Zth_KW
0.0000,300.0020,0.000100
0.0001,300.0860,0.004300
0.0002,300.2510,0.012550
0.0003,300.4110,0.020550
0.0004,300.5630,0.028150
0.0005,300.7160,0.035800
0.0006,300.8540,0.042700
0.0007,300.9860,0.049300
0.0008,301.1130,0.055650
0.0009,301.2340,0.061700
0.0010,301.3500,0.067500
0.0011,301.4610,0.073050
0.0012,301.5670,0.078350
0.0013,301.6700,0.083500
0.0014,301.7730,0.088650
0.0015,301.8680,0.093400
0.0016,301.9590,0.097950
0.0017,302.0480,0.102400
0.0018,302.1330,0.106650
0.0019,302.2160,0.110800
0.0020,302.2970,0.114850
0.0021,302.3750,0.118750
0.0022,302.4500,0.122500
0.0023,302.5240,0.126200
0.0024,302.5990,0.129950
0.0025,302.6680,0.133400
0.0026,302.7360,0.136800
0.0027,302.8030,0.140150
0.0028,302.8670,0.143350
0.0029,302.9310,0.146550
0.0030,302.9930,0.149650
0.0031,303.0540,0.152700
0.0032,303.1130,0.155650
0.0033,303.1710,0.158550
0.0034,303.2310,0.161550
0.0035,303.2880,0.164400
0.0036,303.3430,0.167150
0.0037,303.3970,0.169850
0.0038,303.4510,0.172550
0.0039,303.5030,0.175150
0.0040,303.5550,0.177750
0.0041,303.6060,0.180300
0.0042,303.6570,0.182850
0.0043,303.7090,0.185450
0.0044,303.7580,0.187900
0.0045,303.8070,0.190350
0.0046,303.8550,0.192750
0.0047,303.9020,0.195100
0.0048,303.9490,0.197450
0.0049,303.9950,0.199750
0.0050,304.0410,0.202050
0.0051,304.0860,0.204300
0.0052,304.1310,0.206550
0.0053,304.1780,0.208900
0.0054,304.2220,0.211100
0.0055,304.2650,0.213250
0.0056,304.3090,0.215450
0.0057,304.3520,0.217600
0.0058,304.3940,0.219700
0.0059,304.4360,0.221800
0.0060,304.4780,0.223900
0.0061,304.5200,0.226000
0.0062,304.5630,0.228150
0.0063,304.6030,0.230150
0.0064,304.6440,0.232200
0.0065,304.6840,0.234200
0.0066,304.7240,0.236200
0.0067,304.7640,0.238200
0.0068,304.8030,0.240150
0.0069,304.8420,0.242100
0.0070,304.8810,0.244050
0.0071,304.9200,0.246000
0.0072,304.9600,0.248000
0.0073,304.9980,0.249900
0.0074,305.0360,0.251800
0.0075,305.0740,0.253700
0.0076,305.1110,0.255550
0.0077,305.1480,0.257400
0.0078,305.1850,0.259250
0.0079,305.2220,0.261100
0.0080,305.2580,0.262900
0.0081,305.2950,0.264750
0.0082,305.3320,0.266600
0.0083,305.3680,0.268400
0.0084,305.4040,0.270200
0.0085,305.4390,0.271950
0.0086,305.4750,0.273750
0.0087,305.5100,0.275500
0.0088,305.5450,0.277250
0.0089,305.5790,0.278950
0.0090,305.6140,0.280700
0.0091,305.6500,0.282500
0.0092,305.6840,0.284200
0.0093,305.7180,0.285900
0.0094,305.7520,0.287600
0.0095,305.7850,0.289250
0.0096,305.8190,0.290950
0.0097,305.8520,0.292600
0.0098,305.8850,0.294250
0.0099,305.9180,0.295900
0.0100,305.9510,0.297550
0.0101,305.9850,0.299250
0.0102,306.0170,0.300850
0.0103,306.0500,0.302500
0.0104,306.0820,0.304100
0.0105,306.1140,0.305700
0.0106,306.1460,0.307300
0.0107,306.1770,0.308850
0.0108,306.2090,0.310450
0.0109,306.2400,0.312000
0.0110,306.2710,0.313550
0.0111,306.3040,0.315200
0.0112,306.3350,0.316750
0.0113,306.3660,0.318300
0.0114,306.3960,0.319800
0.0115,306.4270,0.321350
0.0116,306.4570,0.322850
0.0117,306.4870,0.324350
0.0118,306.5170,0.325850
0.0119,306.5470,0.327350
0.0120,306.5770,0.328850
0.0121,306.6080,0.330400
0.0122,306.6370,0.331850
0.0123,306.6670,0.333350
0.0124,306.6960,0.334800
0.0125,306.7250,0.336250
0.0126,306.7540,0.337700
0.0127,306.7830,0.339150
0.0128,306.8120,0.340600
0.0129,306.8400,0.342000
0.0130,306.8690,0.343450
0.0131,306.8980,0.344900
0.0132,306.9260,0.346300
0.0133,306.9540,0.347700
0.0134,306.9820,0.349100
0.0135,307.0100,0.350500
0.0136,307.0380,0.351900
0.0137,307.0660,0.353300
0.0138,307.0930,0.354650
0.0139,307.1200,0.356000
0.0140,307.1480,0.357400
0.0141,307.1760,0.358800
0.0142,307.2030,0.360150
0.0143,307.2300,0.361500
0.0144,307.2570,0.362850
0.0145,307.2830,0.364150
0.0146,307.3100,0.365500
0.0147,307.3360,0.366800
0.0148,307.3630,0.368150
0.0149,307.3890,0.369450
0.0150,307.4150,0.370750
0.0151,307.4420,0.372100
0.0152,307.4680,0.373400
0.0153,307.4940,0.374700
0.0154,307.5200,0.376000
0.0155,307.5450,0.377250
0.0156,307.5710,0.378550
0.0157,307.5960,0.379800
0.0158,307.6210,0.381050
0.0159,307.6460,0.382300
0.0160,307.6710,0.383550
0.0161,307.6980,0.384900
0.0162,307.7220,0.386100
0.0163,307.7470,0.387350
0.0164,307.7720,0.388600
0.0165,307.7960,0.389800
0.0166,307.8210,0.391050
0.0167,307.8450,0.392250
0.0168,307.8700,0.393500
0.0169,307.8940,0.394700
0.0170,307.9180,0.395900
0.0171,307.9430,0.397150
0.0172,307.9670,0.398350
0.0173,307.9910,0.399550
0.0174,308.0140,0.400700
0.0175,308.0380,0.401900
0.0176,308.0620,0.403100
0.0177,308.0850,0.404250
0.0178,308.1080,0.405400
0.0179,308.1320,0.406600
0.0180,308.1550,0.407750
0.0181,308.1790,0.408950
0.0182,308.2020,0.410100
0.0183,308.2250,0.411250
0.0184,308.2480,0.412400
0.0185,308.2710,0.413550
0.0186,308.2930,0.414650
0.0187,308.3160,0.415800
0.0188,308.3380,0.416900
0.0189,308.3610,0.418050
0.0190,308.3830,0.419150
0.0191,308.4060,0.420300
0.0192,308.4290,0.421450
0.0193,308.4510,0.422550
0.0194,308.4730,0.423650
0.0195,308.4950,0.424750
0.0196,308.5170,0.425850
0.0197,308.5380,0.426900
0.0198,308.5600,0.428000
0.0199,308.5820,0.429100
0.0200,308.6030,0.430150
0.0201,308.6260,0.431300
0.0202,308.6470,0.432350
0.0203,308.6680,0.433400
0.0204,308.6900,0.434500
0.0205,308.7110,0.435550
0.0206,308.7320,0.436600
0.0207,308.7530,0.437650
0.0208,308.7740,0.438700
0.0209,308.7950,0.439750
0.0210,308.8150,0.440750
0.0211,308.8370,0.441850
0.0212,308.8580,0.442900
0.0213,308.8780,0.443900
0.0214,308.8990,0.444950
0.0215,308.9190,0.445950
0.0216,308.9400,0.447000
0.0217,308.9600,0.448000
0.0218,308.9800,0.449000
0.0219,309.0000,0.450000
0.0220,309.0200,0.451000
0.0221,309.0410,0.452050
0.0222,309.0610,0.453050
0.0223,309.0810,0.454050
0.0224,309.1010,0.455050
0.0225,309.1210,0.456050
0.0226,309.1410,0.457050
0.0227,309.1600,0.458000
0.0228,309.1800,0.459000
0.0229,309.1990,0.459950
0.0230,309.2190,0.460950
0.0231,309.2390,0.461950
0.0232,309.2580,0.462900
0.0233,309.2770,0.463850
0.0234,309.2970,0.464850
0.0235,309.3160,0.465800
0.0236,309.3350,0.466750
0.0237,309.3540,0.467700
0.0238,309.3730,0.468650
0.0239,309.3920,0.469600
0.0240,309.4100,0.470500
0.0241,309.4300,0.471500
0.0242,309.4490,0.472450
0.0243,309.4670,0.473350
0.0244,309.4860,0.474300
0.0245,309.5040,0.475200
0.0246,309.5230,0.476150
