time_s,Tj_K,Zth_KW
0.0000,300.0020,0.000100
0.0001,300.0860,0.004300
0.0002,300.2510,0.012550
0.0003,300.4110,0.020550
0.0004,300.5630,0.028150
0.0005,300.7160,0.035800
0.0006,300.8540,0.042700
0.0007,300.9860,0.049300
0.0008,301.1130,0.055650
0.0009,301.2330,0.061650
0.0010,301.3490,0.067450
0.0011,301.4590,0.072950
0.0012,301.5650,0.078250
0.0013,301.6670,0.083350
0.0014,301.7690,0.088450
0.0015,301.8630,0.093150
0.0016,301.9530,0.097650
0.0017,302.0400,0.102000
0.0018,302.1240,0.106200
0.0019,302.2040,0.110200
0.0020,302.2820,0.114100
0.0021,302.3570,0.117850
0.0022,302.4300,0.121500
0.0023,302.5000,0.125000
0.0024,302.5720,0.128600
0.0025,302.6370,0.131850
0.0026,302.7010,0.135050
0.0027,302.7630,0.138150
0.0028,302.8230,0.141150
0.0029,302.8820,0.144100
0.0030,302.9390,0.146950
0.0031,302.9940,0.149700
0.0032,303.0480,0.152400
0.0033,303.1000,0.155000
0.0034,303.1530,0.157650
0.0035,303.2030,0.160150
0.0036,303.2510,0.162550
0.0037,303.2990,0.164950
0.0038,303.3450,0.167250
0.0039,303.3900,0.169500
0.0040,303.4340,0.171700
0.0041,303.4770,0.173850
0.0042,303.5190,0.175950
0.0043,303.5620,0.178100
0.0044,303.6030,0.180150
0.0045,303.6420,0.182100
0.0046,303.6810,0.184050
0.0047,303.7190,0.185950
0.0048,303.7560,0.187800
0.0049,303.7930,0.189650
0.0050,303.8290,0.191450
0.0051,303.8640,0.193200
0.0052,303.8990,0.194950
0.0053,303.9340,0.196700
0.0054,303.9680,0.198400
0.0055,304.0000,0.200000
0.0056,304.0330,0.201650
0.0057,304.0650,0.203250
0.0058,304.0960,0.204800
0.0059,304.1260,0.206300
0.0060,304.1570,0.207850
0.0061,304.1870,0.209350
0.0062,304.2170,0.210850
0.0063,304.2460,0.212300
0.0064,304.2740,0.213700
0.0065,304.3030,0.215150
0.0066,304.3300,0.216500
0.0067,304.3570,0.217850
0.0068,304.3840,0.219200
0.0069,304.4110,0.220550
0.0070,304.4370,0.221850
0.0071,304.4630,0.223150
0.0072,304.4890,0.224450
0.0073,304.5140,0.225700
0.0074,304.5390,0.226950
0.0075,304.5630,0.228150
0.0076,304.5870,0.229350
0.0077,304.6110,0.230550
0.0078,304.6350,0.231750
0.0079,304.6580,0.232900
0.0080,304.6810,0.234050
0.0081,304.7030,0.235150
0.0082,304.7270,0.236350
0.0083,304.7490,0.237450
0.0084,304.7710,0.238550
0.0085,304.7920,0.239600
0.0086,304.8140,0.240700
0.0087,304.8350,0.241750
0.0088,304.8550,0.242750
0.0089,304.8760,0.243800
0.0090,304.8960,0.244800
0.0091,304.9170,0.245850
0.0092,304.9370,0.246850
0.0093,304.9570,0.247850
0.0094,304.9760,0.248800
0.0095,304.9960,0.249800
0.0096,305.0150,0.250750
0.0097,305.0330,0.251650
0.0098,305.0520,0.252600
0.0099,305.0700,0.253500
0.0100,305.0890,0.254450
0.0101,305.1070,0.255350
0.0102,305.1250,0.256250
0.0103,305.1430,0.257150
0.0104,305.1600,0.258000
0.0105,305.1780,0.258900
0.0106,305.1950,0.259750
0.0107,305.2120,0.260600
0.0108,305.2290,0.261450
0.0109,305.2450,0.262250
0.0110,305.2620,0.263100
0.0111,305.2790,0.263950
0.0112,305.2950,0.264750
0.0113,305.3110,0.265550
0.0114,305.3260,0.266300
0.0115,305.3420,0.267100
0.0116,305.3580,0.267900
0.0117,305.3730,0.268650
0.0118,305.3880,0.269400
0.0119,305.4030,0.270150
0.0120,305.4180,0.270900
0.0121,305.4340,0.271700
0.0122,305.4480,0.272400
0.0123,305.4630,0.273150
0.0124,305.4770,0.273850
0.0125,305.4910,0.274550
0.0126,305.5050,0.275250
0.0127,305.5190,0.275950
0.0128,305.5330,0.276650
0.0129,305.5470,0.277350
0.0130,305.5600,0.278000
0.0131,305.5740,0.278700
0.0132,305.5880,0.279400
0.0133,305.6010,0.280050
0.0134,305.6140,0.280700
0.0135,305.6270,0.281350
0.0136,305.6400,0.282000
0.0137,305.6530,0.282650
0.0138,305.6650,0.283250
0.0139,305.6780,0.283900
0.0140,305.6900,0.284500
0.0141,305.7030,0.285150
0.0142,305.7160,0.285800
0.0143,305.7280,0.286400
0.0144,305.7400,0.287000
0.0145,305.7520,0.287600
0.0146,305.7630,0.288150
0.0147,305.7750,0.288750
0.0148,305.7870,0.289350
0.0149,305.7980,0.289900
0.0150,305.8100,0.290500
0.0151,305.8220,0.291100
0.0152,305.8330,0.291650
0.0153,305.8440,0.292200
0.0154,305.8550,0.292750
0.0155,305.8660,0.293300
0.0156,305.8770,0.293850
0.0157,305.8880,0.294400
0.0158,305.8980,0.294900
0.0159,305.9090,0.295450
0.0160,305.9200,0.296000
0.0161,305.9310,0.296550
0.0162,305.9410,0.297050
0.0163,305.9510,0.297550
0.0164,305.9610,0.298050
0.0165,305.9720,0.298600
0.0166,305.9820,0.299100
0.0167,305.9920,0.299600
0.0168,306.0020,0.300100
0.0169,306.0110,0.300550
0.0170,306.0210,0.301050
0.0171,306.0310,0.301550
0.0172,306.0410,0.302050
0.0173,306.0500,0.302500
0.0174,306.0600,0.303000
0.0175,306.0690,0.303450
0.0176,306.0790,0.303950
0.0177,306.0880,0.304400
0.0178,306.0970,0.304850
0.0179,306.1060,0.305300
0.0180,306.1150,0.305750
0.0181,306.1250,0.306250
0.0182,306.1340,0.306700
0.0183,306.1420,0.307100
0.0184,306.1510,0.307550
0.0185,306.1600,0.308000
0.0186,306.1690,0.308450
0.0187,306.1770,0.308850
0.0188,306.1860,0.309300
0.0189,306.1940,0.309700
0.0190,306.2030,0.310150
0.0191,306.2110,0.310550
0.0192,306.2200,0.311000
0.0193,306.2280,0.311400
0.0194,306.2360,0.311800
0.0195,306.2440,0.312200
0.0196,306.2520,0.312600
0.0197,306.2610,0.313050
0.0198,306.2690,0.313450
0.0199,306.2760,0.313800
0.0200,306.2840,0.314200
0.0201,306.2920,0.314600
0.0202,306.3000,0.315000
0.0203,306.3080,0.315400
0.0204,306.3160,0.315800
0.0205,306.3230,0.316150
0.0206,306.3310,0.316550
0.0207,306.3380,0.316900
0.0208,306.3460,0.317300
0.0209,306.3530,0.317650
0.0210,306.3610,0.318050
0.0211,306.3680,0.318400
0.0212,306.3750,0.318750
0.0213,306.3830,0.319150
0.0214,306.3900,0.319500
0.0215,306.3970,0.319850
0.0216,306.4040,0.320200
0.0217,306.4110,0.320550
0.0218,306.4180,0.320900
0.0219,306.4250,0.321250
0.0220,306.4320,0.321600
0.0221,306.4390,0.321950
0.0222,306.4460,0.322300
0.0223,306.4530,0.322650
0.0224,306.4600,0.323000
0.0225,306.4660,0.323300
0.0226,306.4730,0.323650
0.0227,306.4790,0.323950
0.0228,306.4860,0.324300
0.0229,306.4930,0.324650
0.0230,306.4990,0.324950
0.0231,306.5060,0.325300
0.0232,306.5120,0.325600
0.0233,306.5190,0.325950
0.0234,306.5250,0.326250
0.0235,306.5310,0.326550
0.0236,306.5380,0.326900
0.0237,306.5440,0.327200
0.0238,306.5500,0.327500
0.0239,306.5560,0.327800
0.0240,306.5620,0.328100
0.0241,306.5690,0.328450
0.0242,306.5750,0.328750
0.0243,306.5810,0.329050
0.0244,306.5870,0.329350
0.0245,306.5930,0.329650
0.0246,306.5990,0.329950
