time_s,Tj_K,Zth_KW
0.0000,300.0020,0.000100
0.0001,300.0860,0.004300
0.0002,300.2520,0.012600
0.0003,300.4180,0.020900
0.0004,300.5820,0.029100
0.0005,300.7530,0.037650
0.0006,300.9160,0.045800
0.0007,301.0770,0.053850
0.0008,301.2380,0.061900
0.0009,301.3970,0.069850
0.0010,301.5550,0.077750
0.0011,301.7120,0.085600
0.0012,301.8680,0.093400
0.0013,302.0240,0.101200
0.0014,302.1850,0.109250
0.0015,302.3380,0.116900
0.0016,302.4900,0.124500
0.0017,302.6410,0.132050
0.0018,302.7910,0.139550
0.0019,302.9410,0.147050
0.0020,303.0890,0.154450
0.0021,303.2360,0.161800
0.0022,303.3820,0.169100
0.0023,303.5280,0.176400
0.0024,303.6790,0.183950
0.0025,303.8230,0.191150
0.0026,303.9650,0.198250
0.0027,304.1070,0.205350
0.0028,304.2480,0.212400
0.0029,304.3880,0.219400
0.0030,304.5270,0.226350
0.0031,304.6650,0.233250
0.0032,304.8020,0.240100
0.0033,304.9390,0.246950
0.0034,305.0810,0.254050
0.0035,305.2150,0.260750
0.0036,305.3490,0.267450
0.0037,305.4820,0.274100
0.0038,305.6140,0.280700
0.0039,305.7460,0.287300
0.0040,305.8760,0.293800
0.0041,306.0060,0.300300
0.0042,306.1350,0.306750
0.0043,306.2690,0.313450
0.0044,306.3960,0.319800
0.0045,306.5230,0.326150
0.0046,306.6490,0.332450
0.0047,306.7740,0.338700
0.0048,306.8980,0.344900
0.0049,307.0220,0.351100
0.0050,307.1440,0.357200
0.0051,307.2660,0.363300
0.0052,307.3870,0.369350
0.0053,307.5130,0.375650
0.0054,307.6330,0.381650
0.0055,307.7520,0.387600
0.0056,307.8700,0.393500
0.0057,307.9880,0.399400
0.0058,308.1050,0.405250
0.0059,308.2210,0.411050
0.0060,308.3360,0.416800
0.0061,308.4510,0.422550
0.0062,308.5700,0.428500
0.0063,308.6840,0.434200
0.0064,308.7960,0.439800
0.0065,308.9080,0.445400
0.0066,309.0190,0.450950
0.0067,309.1300,0.456500
0.0068,309.2400,0.462000
0.0069,309.3490,0.467450
0.0070,309.4580,0.472900
0.0071,309.5660,0.478300
0.0072,309.6780,0.483900
0.0073,309.7850,0.489250
0.0074,309.8910,0.494550
0.0075,309.9960,0.499800
0.0076,310.1010,0.505050
0.0077,310.2050,0.510250
0.0078,310.3090,0.515450
0.0079,310.4120,0.520600
0.0080,310.5140,0.525700
0.0081,310.6160,0.530800
0.0082,310.7210,0.536050
0.0083,310.8220,0.541100
0.0084,310.9220,0.546100
0.0085,311.0210,0.551050
0.0086,311.1200,0.556000
0.0087,311.2180,0.560900
0.0088,311.3150,0.565750
0.0089,311.4120,0.570600
0.0090,311.5090,0.575450
0.0091,311.6090,0.580450
0.0092,311.7040,0.585200
0.0093,311.7990,0.589950
0.0094,311.8930,0.594650
0.0095,311.9870,0.599350
0.0096,312.0800,0.604000
0.0097,312.1720,0.608600
0.0098,312.2640,0.613200
0.0099,312.3550,0.617750
0.0100,312.4460,0.622300
0.0101,312.5410,0.627050
0.0102,312.6300,0.631500
0.0103,312.7200,0.636000
0.0104,312.8090,0.640450
0.0105,312.8970,0.644850
0.0106,312.9850,0.649250
0.0107,313.0720,0.653600
0.0108,313.1580,0.657900
0.0109,313.2450,0.662250
0.0110,313.3300,0.666500
0.0111,313.4190,0.670950
0.0112,313.5040,0.675200
0.0113,313.5880,0.679400
0.0114,313.6720,0.683600
0.0115,313.7550,0.687750
0.0116,313.8380,0.691900
0.0117,313.9200,0.696000
0.0118,314.0020,0.700100
0.0119,314.0840,0.704200
0.0120,314.1640,0.708200
0.0121,314.2480,0.712400
0.0122,314.3280,0.716400
0.0123,314.4080,0.720400
0.0124,314.4870,0.724350
0.0125,314.5650,0.728250
0.0126,314.6440,0.732200
0.0127,314.7210,0.736050
0.0128,314.7980,0.739900
0.0129,314.8750,0.743750
0.0130,314.9510,0.747550
0.0131,315.0310,0.751550
0.0132,315.1060,0.755300
0.0133,315.1810,0.759050
0.0134,315.2560,0.762800
0.0135,315.3300,0.766500
0.0136,315.4040,0.770200
0.0137,315.4770,0.773850
0.0138,315.5500,0.777500
0.0139,315.6220,0.781100
0.0140,315.6940,0.784700
0.0141,315.7690,0.788450
0.0142,315.8410,0.792050
0.0143,315.9110,0.795550
0.0144,315.9820,0.799100
0.0145,316.0520,0.802600
0.0146,316.1210,0.806050
0.0147,316.1910,0.809550
0.0148,316.2600,0.813000
0.0149,316.3280,0.816400
0.0150,316.3960,0.819800
0.0151,316.4670,0.823350
0.0152,316.5340,0.826700
0.0153,316.6010,0.830050
0.0154,316.6680,0.833400
0.0155,316.7340,0.836700
0.0156,316.7990,0.839950
0.0157,316.8650,0.843250
0.0158,316.9300,0.846500
0.0159,316.9950,0.849750
0.0160,317.0590,0.852950
0.0161,317.1260,0.856300
0.0162,317.1890,0.859450
0.0163,317.2520,0.862600
0.0164,317.3150,0.865750
0.0165,317.3780,0.868900
0.0166,317.4400,0.872000
0.0167,317.5020,0.875100
0.0168,317.5630,0.878150
0.0169,317.6240,0.881200
0.0170,317.6850,0.884250
0.0171,317.7480,0.887400
0.0172,317.8080,0.890400
0.0173,317.8680,0.893400
0.0174,317.9280,0.896400
0.0175,317.9870,0.899350
0.0176,318.0450,0.902250
0.0177,318.1040,0.905200
0.0178,318.1620,0.908100
0.0179,318.2200,0.911000
0.0180,318.2770,0.913850
0.0181,318.3370,0.916850
0.0182,318.3940,0.919700
0.0183,318.4500,0.922500
0.0184,318.5060,0.925300
0.0185,318.5620,0.928100
0.0186,318.6180,0.930900
0.0187,318.6730,0.933650
0.0188,318.7280,0.936400
0.0189,318.7820,0.939100
0.0190,318.8370,0.941850
0.0191,318.8930,0.944650
0.0192,318.9470,0.947350
0.0193,319.0000,0.950000
0.0194,319.0540,0.952700
0.0195,319.1060,0.955300
0.0196,319.1590,0.957950
0.0197,319.2110,0.960550
0.0198,319.2630,0.963150
0.0199,319.3150,0.965750
0.0200,319.3660,0.968300
0.0201,319.4200,0.971000
0.0202,319.4700,0.973500
0.0203,319.5210,0.976050
0.0204,319.5710,0.978550
0.0205,319.6210,0.981050
0.0206,319.6710,0.983550
0.0207,319.7200,0.986000
0.0208,319.7700,0.988500
0.0209,319.8180,0.990900
0.0210,319.8670,0.993350
0.0211,319.9180,0.995900
0.0212,319.9660,0.998300
0.0213,320.0130,1.000650
0.0214,320.0610,1.003050
0.0215,320.1080,1.005400
0.0216,320.1550,1.007750
0.0217,320.2020,1.010100
0.0218,320.2490,1.012450
0.0219,320.2950,1.014750
0.0220,320.3410,1.017050
0.0221,320.3890,1.019450
0.0222,320.4340,1.021700
0.0223,320.4800,1.024000
0.0224,320.5250,1.026250
0.0225,320.5690,1.028450
0.0226,320.6140,1.030700
0.0227,320.6580,1.032900
0.0228,320.7020,1.035100
0.0229,320.7460,1.037300
0.0230,320.7900,1.039500
0.0231,320.8350,1.041750
0.0232,320.8780,1.043900
0.0233,320.9210,1.046050
0.0234,320.9630,1.048150
0.0235,321.0060,1.050300
0.0236,321.0480,1.052400
0.0237,321.0900,1.054500
0.0238,321.1320,1.056600
0.0239,321.1730,1.058650
0.0240,321.2140,1.060700
0.0241,321.2570,1.062850
0.0242,321.2980,1.064900
0.0243,321.3390,1.066950
0.0244,321.3790,1.068950
0.0245,321.4190,1.070950
0.0246,321.4590,1.072950
