time_s,Tj_K,Zth_KW
0.0000,300.0020,0.000100
0.0001,300.0860,0.004300
0.0002,300.2510,0.012550
0.0003,300.4110,0.020550
0.0004,300.5630,0.028150
0.0005,300.7160,0.035800
0.0006,300.8540,0.042700
0.0007,300.9860,0.049300
0.0008,301.1130,0.055650
0.0009,301.2330,0.061650
0.0010,301.3490,0.067450
0.0011,301.4600,0.073000
0.0012,301.5660,0.078300
0.0013,301.6680,0.083400
0.0014,301.7710,0.088550
0.0015,301.8650,0.093250
0.0016,301.9560,0.097800
0.0017,302.0440,0.102200
0.0018,302.1290,0.106450
0.0019,302.2110,0.110550
0.0020,302.2900,0.114500
0.0021,302.3660,0.118300
0.0022,302.4410,0.122050
0.0023,302.5130,0.125650
0.0024,302.5860,0.129300
0.0025,302.6540,0.132700
0.0026,302.7200,0.136000
0.0027,302.7840,0.139200
0.0028,302.8460,0.142300
0.0029,302.9070,0.145350
0.0030,302.9670,0.148350
0.0031,303.0250,0.151250
0.0032,303.0820,0.154100
0.0033,303.1370,0.156850
0.0034,303.1940,0.159700
0.0035,303.2470,0.162350
0.0036,303.2990,0.164950
0.0037,303.3500,0.167500
0.0038,303.4000,0.170000
0.0039,303.4490,0.172450
0.0040,303.4970,0.174850
0.0041,303.5440,0.177200
0.0042,303.5910,0.179550
0.0043,303.6380,0.181900
0.0044,303.6830,0.184150
0.0045,303.7270,0.186350
0.0046,303.7710,0.188550
0.0047,303.8140,0.190700
0.0048,303.8560,0.192800
0.0049,303.8980,0.194900
0.0050,303.9390,0.196950
0.0051,303.9790,0.198950
0.0052,304.0190,0.200950
0.0053,304.0600,0.203000
0.0054,304.0990,0.204950
0.0055,304.1370,0.206850
0.0056,304.1750,0.208750
0.0057,304.2130,0.210650
0.0058,304.2500,0.212500
0.0059,304.2870,0.214350
0.0060,304.3230,0.216150
0.0061,304.3590,0.217950
0.0062,304.3960,0.219800
0.0063,304.4310,0.221550
0.0064,304.4650,0.223250
0.0065,304.4990,0.224950
0.0066,304.5330,0.226650
0.0067,304.5670,0.228350
0.0068,304.6000,0.230000
0.0069,304.6330,0.231650
0.0070,304.6660,0.233300
0.0071,304.6980,0.234900
0.0072,304.7320,0.236600
0.0073,304.7630,0.238150
0.0074,304.7950,0.239750
0.0075,304.8260,0.241300
0.0076,304.8570,0.242850
0.0077,304.8870,0.244350
0.0078,304.9170,0.245850
0.0079,304.9470,0.247350
0.0080,304.9770,0.248850
0.0081,305.0070,0.250350
0.0082,305.0370,0.251850
0.0083,305.0660,0.253300
0.0084,305.0950,0.254750
0.0085,305.1240,0.256200
0.0086,305.1520,0.257600
0.0087,305.1800,0.259000
0.0088,305.2080,0.260400
0.0089,305.2350,0.261750
0.0090,305.2630,0.263150
0.0091,305.2910,0.264550
0.0092,305.3180,0.265900
0.0093,305.3450,0.267250
0.0094,305.3720,0.268600
0.0095,305.3980,0.269900
0.0096,305.4240,0.271200
0.0097,305.4500,0.272500
0.0098,305.4760,0.273800
0.0099,305.5010,0.275050
0.0100,305.5260,0.276300
0.0101,305.5530,0.277650
0.0102,305.5780,0.278900
0.0103,305.6020,0.280100
0.0104,305.6270,0.281350
0.0105,305.6510,0.282550
0.0106,305.6760,0.283800
0.0107,305.7000,0.285000
0.0108,305.7230,0.286150
0.0109,305.7470,0.287350
0.0110,305.7710,0.288550
0.0111,305.7950,0.289750
0.0112,305.8180,0.290900
0.0113,305.8410,0.292050
0.0114,305.8640,0.293200
0.0115,305.8870,0.294350
0.0116,305.9090,0.295450
0.0117,305.9310,0.296550
0.0118,305.9540,0.297700
0.0119,305.9760,0.298800
0.0120,305.9980,0.299900
0.0121,306.0200,0.301000
0.0122,306.0420,0.302100
0.0123,306.0630,0.303150
0.0124,306.0840,0.304200
0.0125,306.1050,0.305250
0.0126,306.1260,0.306300
0.0127,306.1470,0.307350
0.0128,306.1680,0.308400
0.0129,306.1880,0.309400
0.0130,306.2090,0.310450
0.0131,306.2300,0.311500
0.0132,306.2500,0.312500
0.0133,306.2700,0.313500
0.0134,306.2900,0.314500
0.0135,306.3090,0.315450
0.0136,306.3290,0.316450
0.0137,306.3480,0.317400
0.0138,306.3680,0.318400
0.0139,306.3870,0.319350
0.0140,306.4060,0.320300
0.0141,306.4250,0.321250
0.0142,306.4440,0.322200
0.0143,306.4630,0.323150
0.0144,306.4810,0.324050
0.0145,306.5000,0.325000
0.0146,306.5180,0.325900
0.0147,306.5360,0.326800
0.0148,306.5540,0.327700
0.0149,306.5720,0.328600
0.0150,306.5900,0.329500
0.0151,306.6080,0.330400
0.0152,306.6260,0.331300
0.0153,306.6430,0.332150
0.0154,306.6600,0.333000
0.0155,306.6780,0.333900
0.0156,306.6950,0.334750
0.0157,306.7120,0.335600
0.0158,306.7280,0.336400
0.0159,306.7450,0.337250
0.0160,306.7620,0.338100
0.0161,306.7790,0.338950
0.0162,306.7950,0.339750
0.0163,306.8120,0.340600
0.0164,306.8280,0.341400
0.0165,306.8440,0.342200
0.0166,306.8600,0.343000
0.0167,306.8760,0.343800
0.0168,306.8920,0.344600
0.0169,306.9070,0.345350
0.0170,306.9230,0.346150
0.0171,306.9390,0.346950
0.0172,306.9540,0.347700
0.0173,306.9700,0.348500
0.0174,306.9850,0.349250
0.0175,307.0000,0.350000
0.0176,307.0150,0.350750
0.0177,307.0300,0.351500
0.0178,307.0450,0.352250
0.0179,307.0590,0.352950
0.0180,307.0740,0.353700
0.0181,307.0890,0.354450
0.0182,307.1040,0.355200
0.0183,307.1180,0.355900
0.0184,307.1320,0.356600
0.0185,307.1460,0.357300
0.0186,307.1610,0.358050
0.0187,307.1750,0.358750
0.0188,307.1880,0.359400
0.0189,307.2020,0.360100
0.0190,307.2160,0.360800
0.0191,307.2300,0.361500
0.0192,307.2440,0.362200
0.0193,307.2570,0.362850
0.0194,307.2710,0.363550
0.0195,307.2840,0.364200
0.0196,307.2970,0.364850
0.0197,307.3100,0.365500
0.0198,307.3240,0.366200
0.0199,307.3370,0.366850
0.0200,307.3490,0.367450
0.0201,307.3630,0.368150
0.0202,307.3760,0.368800
0.0203,307.3880,0.369400
0.0204,307.4010,0.370050
0.0205,307.4130,0.370650
0.0206,307.4260,0.371300
0.0207,307.4380,0.371900
0.0208,307.4510,0.372550
0.0209,307.4630,0.373150
0.0210,307.4750,0.373750
0.0211,307.4880,0.374400
0.0212,307.5000,0.375000
0.0213,307.5120,0.375600
0.0214,307.5240,0.376200
0.0215,307.5350,0.376750
0.0216,307.5470,0.377350
0.0217,307.5590,0.377950
0.0218,307.5700,0.378500
0.0219,307.5820,0.379100
0.0220,307.5930,0.379650
0.0221,307.6050,0.380250
0.0222,307.6170,0.380850
0.0223,307.6280,0.381400
0.0224,307.6390,0.381950
0.0225,307.6500,0.382500
0.0226,307.6610,0.383050
0.0227,307.6720,0.383600
0.0228,307.6830,0.384150
0.0229,307.6940,0.384700
0.0230,307.7050,0.385250
0.0231,307.7160,0.385800
0.0232,307.7270,0.386350
0.0233,307.7380,0.386900
0.0234,307.7480,0.387400
0.0235,307.7590,0.387950
0.0236,307.7690,0.388450
0.0237,307.7800,0.389000
0.0238,307.7900,0.389500
0.0239,307.8000,0.390000
0.0240,307.8110,0.390550
0.0241,307.8210,0.391050
0.0242,307.8310,0.391550
0.0243,307.8420,0.392100
0.0244,307.8520,0.392600
0.0245,307.8620,0.393100
0.0246,307.8710,0.393550
