time_s,Tj_K,Zth_KW
0.0000,300.0020,0.000100
0.0001,300.0860,0.004300
0.0002,300.2510,0.012550
0.0003,300.4110,0.020550
0.0004,300.5630,0.028150
0.0005,300.7160,0.035800
0.0006,300.8540,0.042700
0.0007,300.9860,0.049300
0.0008,301.1130,0.055650
0.0009,301.2330,0.061650
0.0010,301.3490,0.067450
0.0011,301.4590,0.072950
0.0012,301.5660,0.078300
0.0013,301.6670,0.083350
0.0014,301.7700,0.088500
0.0015,301.8640,0.093200
0.0016,301.9540,0.097700
0.0017,302.0410,0.102050
0.0018,302.1250,0.106250
0.0019,302.2060,0.110300
0.0020,302.2850,0.114250
0.0021,302.3600,0.118000
0.0022,302.4330,0.121650
0.0023,302.5040,0.125200
0.0024,302.5760,0.128800
0.0025,302.6420,0.132100
0.0026,302.7070,0.135350
0.0027,302.7700,0.138500
0.0028,302.8310,0.141550
0.0029,302.8900,0.144500
0.0030,302.9470,0.147350
0.0031,303.0030,0.150150
0.0032,303.0580,0.152900
0.0033,303.1110,0.155550
0.0034,303.1660,0.158300
0.0035,303.2170,0.160850
0.0036,303.2660,0.163300
0.0037,303.3140,0.165700
0.0038,303.3620,0.168100
0.0039,303.4080,0.170400
0.0040,303.4530,0.172650
0.0041,303.4980,0.174900
0.0042,303.5410,0.177050
0.0043,303.5860,0.179300
0.0044,303.6280,0.181400
0.0045,303.6690,0.183450
0.0046,303.7090,0.185450
0.0047,303.7480,0.187400
0.0048,303.7870,0.189350
0.0049,303.8250,0.191250
0.0050,303.8630,0.193150
0.0051,303.9000,0.195000
0.0052,303.9360,0.196800
0.0053,303.9730,0.198650
0.0054,304.0080,0.200400
0.0055,304.0430,0.202150
0.0056,304.0770,0.203850
0.0057,304.1100,0.205500
0.0058,304.1430,0.207150
0.0059,304.1760,0.208800
0.0060,304.2080,0.210400
0.0061,304.2400,0.212000
0.0062,304.2720,0.213600
0.0063,304.3030,0.215150
0.0064,304.3330,0.216650
0.0065,304.3630,0.218150
0.0066,304.3930,0.219650
0.0067,304.4220,0.221100
0.0068,304.4510,0.222550
0.0069,304.4790,0.223950
0.0070,304.5070,0.225350
0.0071,304.5350,0.226750
0.0072,304.5640,0.228200
0.0073,304.5910,0.229550
0.0074,304.6170,0.230850
0.0075,304.6440,0.232200
0.0076,304.6700,0.233500
0.0077,304.6960,0.234800
0.0078,304.7210,0.236050
0.0079,304.7470,0.237350
0.0080,304.7710,0.238550
0.0081,304.7960,0.239800
0.0082,304.8220,0.241100
0.0083,304.8460,0.242300
0.0084,304.8700,0.243500
0.0085,304.8930,0.244650
0.0086,304.9170,0.245850
0.0087,304.9400,0.247000
0.0088,304.9630,0.248150
0.0089,304.9850,0.249250
0.0090,305.0080,0.250400
0.0091,305.0310,0.251550
0.0092,305.0530,0.252650
0.0093,305.0750,0.253750
0.0094,305.0960,0.254800
0.0095,305.1180,0.255900
0.0096,305.1390,0.256950
0.0097,305.1600,0.258000
0.0098,305.1800,0.259000
0.0099,305.2010,0.260050
0.0100,305.2210,0.261050
0.0101,305.2420,0.262100
0.0102,305.2620,0.263100
0.0103,305.2820,0.264100
0.0104,305.3010,0.265050
0.0105,305.3200,0.266000
0.0106,305.3400,0.267000
0.0107,305.3590,0.267950
0.0108,305.3770,0.268850
0.0109,305.3960,0.269800
0.0110,305.4140,0.270700
0.0111,305.4340,0.271700
0.0112,305.4520,0.272600
0.0113,305.4700,0.273500
0.0114,305.4870,0.274350
0.0115,305.5050,0.275250
0.0116,305.5230,0.276150
0.0117,305.5400,0.277000
0.0118,305.5570,0.277850
0.0119,305.5740,0.278700
0.0120,305.5910,0.279550
0.0121,305.6080,0.280400
0.0122,305.6250,0.281250
0.0123,305.6410,0.282050
0.0124,305.6580,0.282900
0.0125,305.6740,0.283700
0.0126,305.6900,0.284500
0.0127,305.7060,0.285300
0.0128,305.7210,0.286050
0.0129,305.7370,0.286850
0.0130,305.7520,0.287600
0.0131,305.7690,0.288450
0.0132,305.7840,0.289200
0.0133,305.7990,0.289950
0.0134,305.8140,0.290700
0.0135,305.8290,0.291450
0.0136,305.8430,0.292150
0.0137,305.8580,0.292900
0.0138,305.8720,0.293600
0.0139,305.8870,0.294350
0.0140,305.9010,0.295050
0.0141,305.9160,0.295800
0.0142,305.9300,0.296500
0.0143,305.9440,0.297200
0.0144,305.9570,0.297850
0.0145,305.9710,0.298550
0.0146,305.9850,0.299250
0.0147,305.9980,0.299900
0.0148,306.0110,0.300550
0.0149,306.0250,0.301250
0.0150,306.0380,0.301900
0.0151,306.0510,0.302550
0.0152,306.0640,0.303200
0.0153,306.0770,0.303850
0.0154,306.0900,0.304500
0.0155,306.1030,0.305150
0.0156,306.1150,0.305750
0.0157,306.1280,0.306400
0.0158,306.1400,0.307000
0.0159,306.1520,0.307600
0.0160,306.1640,0.308200
0.0161,306.1770,0.308850
0.0162,306.1890,0.309450
0.0163,306.2010,0.310050
0.0164,306.2130,0.310650
0.0165,306.2240,0.311200
0.0166,306.2360,0.311800
0.0167,306.2480,0.312400
0.0168,306.2590,0.312950
0.0169,306.2700,0.313500
0.0170,306.2820,0.314100
0.0171,306.2930,0.314650
0.0172,306.3040,0.315200
0.0173,306.3150,0.315750
0.0174,306.3260,0.316300
0.0175,306.3370,0.316850
0.0176,306.3480,0.317400
0.0177,306.3590,0.317950
0.0178,306.3700,0.318500
0.0179,306.3800,0.319000
0.0180,306.3910,0.319550
0.0181,306.4010,0.320050
0.0182,306.4120,0.320600
0.0183,306.4220,0.321100
0.0184,306.4320,0.321600
0.0185,306.4420,0.322100
0.0186,306.4530,0.322650
0.0187,306.4630,0.323150
0.0188,306.4720,0.323600
0.0189,306.4820,0.324100
0.0190,306.4920,0.324600
0.0191,306.5020,0.325100
0.0192,306.5120,0.325600
0.0193,306.5220,0.326100
0.0194,306.5310,0.326550
0.0195,306.5410,0.327050
0.0196,306.5500,0.327500
0.0197,306.5590,0.327950
0.0198,306.5690,0.328450
0.0199,306.5780,0.328900
0.0200,306.5870,0.329350
0.0201,306.5960,0.329800
0.0202,306.6050,0.330250
0.0203,306.6140,0.330700
0.0204,306.6230,0.331150
0.0205,306.6320,0.331600
0.0206,306.6410,0.332050
0.0207,306.6500,0.332500
0.0208,306.6580,0.332900
0.0209,306.6670,0.333350
0.0210,306.6760,0.333800
0.0211,306.6840,0.334200
0.0212,306.6930,0.334650
0.0213,306.7010,0.335050
0.0214,306.7100,0.335500
0.0215,306.7180,0.335900
0.0216,306.7260,0.336300
0.0217,306.7340,0.336700
0.0218,306.7430,0.337150
0.0219,306.7510,0.337550
0.0220,306.7590,0.337950
0.0221,306.7670,0.338350
0.0222,306.7750,0.338750
0.0223,306.7830,0.339150
0.0224,306.7910,0.339550
0.0225,306.7990,0.339950
0.0226,306.8060,0.340300
0.0227,306.8140,0.340700
0.0228,306.8220,0.341100
0.0229,306.8290,0.341450
0.0230,306.8370,0.341850
0.0231,306.8450,0.342250
0.0232,306.8520,0.342600
0.0233,306.8600,0.343000
0.0234,306.8670,0.343350
0.0235,306.8740,0.343700
0.0236,306.8820,0.344100
0.0237,306.8890,0.344450
0.0238,306.8960,0.344800
0.0239,306.9030,0.345150
0.0240,306.9100,0.345500
0.0241,306.9180,0.345900
0.0242,306.9250,0.346250
0.0243,306.9320,0.346600
0.0244,306.9390,0.346950
0.0245,306.9460,0.347300
0.0246,306.9530,0.347650
